tweet_id,author_id,created_at,text,image_urls
1907893244576596158,1899604077555720194,2025-04-03 20:29:31+00:00,@MicroCapClub Reply 88 to get US stock information https://t.co/A2ozgn4nYO,
1907890713800347775,37918984,2025-04-03 20:19:27+00:00,😆 https://t.co/1tNoFWNGPC https://t.co/gyADUbKn60,https://pbs.twimg.com/media/GnowVcHXoAAaHYo.jpg
1907890332533940404,265120701,2025-04-03 20:17:56+00:00,"@MicroCapClub Turns out still suck?

What am I missing from this chart?

It’s all correlated",
1907889933412605956,1896585067818045440,2025-04-03 20:16:21+00:00,@MicroCapClub Reply 88 to get US stock information https://t.co/50u81kjIt9,
1907889831243558950,1891350194253393920,2025-04-03 20:15:57+00:00,"@MicroCapClub I stumbled upon this blogger 
 @odecfvcker🌞

He provides excellent US stock market stock analysis every day. I bought the same stocks as him and made $83,000 in a week. He is trustworthy and worth following🌹🌼",
1907889775853310318,292437206,2025-04-03 20:15:44+00:00,Boring profitable global microcaps https://t.co/pPhPWHTiK7,https://pbs.twimg.com/media/Gnovn1dXoAA68qT.png
1907886735067066699,1730415102669758464,2025-04-03 20:03:39+00:00,"What a great detailed interview 

High growth and a great marketing strategy, running super lean with margins around 40% 

Cool to see influencers like Joe Rogan, Shawn Ryan and Eric Hinman tied in as well

🐂 
I drink my coffee with Laird’s Superfood Creamer every morning 💪 https://t.co/kteN3opZel",
1907773300513579119,3165650461,2025-04-03 12:32:54+00:00,"@OlivierColombo @IamNGupta8 @MicroCapClub @AKWilk @LairdSuperfood You no longer need to focus on finding the best trading signals and analysis, click on the free Telegram channel link @Hanrry888536 posted on this account to join the community and start trading with accurate signals",
1907746903393009745,2262791362,2025-04-03 10:48:00+00:00,@iancassel @MicroCapClub Found a Platform that sets ambitious goals for their clients and genuinely cares for their well-being. Choose All that best in investment management. Consider following @Emily0Andrews for a Consistent daily return without recording losses or liquidation.,
1907742515236593861,292437206,2025-04-03 10:30:34+00:00,A company that puts out a positive PR this morning https://t.co/XgtoI3IHER,
